Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
199;VVPP;ADJD;ausfallen|ausgefallen;33;NZZ_1993_04_03_a143_seg4_s5;32;Full|Psp;Noch scheint es aber etwas zu früh zu sein , um bereits von einer Wiederbelebung des japanischen Automarktes zu sprechen : Zum einen war das Vorjahresresultat wegen einer bevorstehenden Steuerermässigung verhältnismässig schlecht ausgefallen , zum andern wies der März 1993 gegenüber dem Vorjahr einen zusätzlichen Handelstag auf .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
121;VVFIN;ADJD;ausgehen;34;NZZ_1996_01_22_a99_seg13_s1;33;Full|3|Sg|Past|Ind;Ein weiteres Element verantwortungsbewussten ärztlichen Denkens findet in den klinisch-praktischen Schriften des Corpus Hippocraticum in zahlreichen Beispielen deutlichen Ausdruck : die rückblickende kritische und eben auch selbstkritische Analyse einer Behandlung , die schlecht ausging .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
131;VVPP;ADJD;aushandeln;15;NZZ_1995_10_20_a45_seg9_s4;14;Full|Psp;Angesichts der riesigen Herausforderungen waren Fahrzeugkontrolle und Klinik lediglich Reförmchen und erst noch schlecht ausgehandelt und verkauft .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
176;VVIZU;ADJD;auskommen;26;NZZ_1998_06_06_a3_seg2_s21;25;Full|zu;Nun selbst im Elysée scheint Chirac - eher ein Fussballspieler der Macht - mit Jospin , dem Mittelstürmer der Regierungsmannschaft , gar nicht so schlecht auszukommen .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
103;VVPP;ADJD;auslasten;18;NZZ_1999_12_11_a99_seg6_s8;17;Full|Psp;Fuji hat sodann in die Fertigung von GM-Autos in Japan eingewilligt , weil die Fabriken zurzeit schlecht ausgelastet sind .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
25;VVFIN;ADJD;aussehen;73;NZZ_1994_02_26_a3_seg2_s33;72;Full|3|Sg|Pres|Ind;Selbst für den in zwei Wochen stattfindenden Urnengang in Niedersachsen , der den Reigen der deutschen Wahlen eröffnen und fast mit Sicherheit mit einer Niederlage der CDU enden wird , gilt der gleiche Vorbehalt : Mitte Oktober wird es nur noch darum gehen , ob die Bilanz der letzten vier Jahre , die ganz im Zeichen der monumentalen Aufgaben der deutschen Wiedervereinigung stehen wird , für das Bonner Regierungslager wirklich so schlecht aussieht , wie oft suggeriert wird , oder ob von der Alternative , die sich in Scharpings SPD anbietet , mehr Kompetenz und Vertrauenswürdigkeit erwartet werden darf .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
45;VVINF;ADJD;aussehen;15;NZZ_1997_07_14_a137_seg4_s9;14;Full|-2;Wiederkehr und De Napoli hatten mit einem Doppelpass ihre Gegenspieler Konjic und Brugnoli schlecht aussehen lassen , Wiederkehr flankte von der Grundlinie zur Mitte , dort war Drakopoulos einen Schritt schneller als Fischer und lenkte den Ball mit dem Kopf unhaltbar für Shorunmu ins Tor - 0 : 1 .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
91;VVFIN;ADJD;aussehen;17;NZZ_1999_02_16_a169_seg5_s2;16;Full|3|Sg|Pres|Ind;Kritik musste sich auch das US Ski Team gefallen lassen , dessen medaillenlose WM-Bilanz so schlecht aussieht wie seit den Weltmeisterschaften 1974 in St. Moritz nicht mehr und zum Olympia-Debakel von 1988 in Calgary passt .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
112;VVPP;ADJD;aussehen;50;NZZ_1999_11_26_a194_seg7_s10;49;Full|Psp;Ein Freund Bilkeis , für den « Heike eine Person gewesen wäre , die ihn als Frau auch interessiert hätte , wenn sie nicht schon vergeben gewesen wäre » , erzählte , er habe Heike wenige Wochen vor ihrem Verschwinden mit schwarzen Augenringen gesehen , sie habe sehr schlecht ausgesehen , « wie damals die schwer drogenabhängigen Personen auf dem Platzspitz » .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
71;VVPP;ADJD;bedienen;13;NZZ_1995_11_10_a182_seg5_s27;12;Full|Psp;Aber Sylvester Stallones schwerblütige Melancholie-Nummer ist mit der unentschlossen gebremsten Action-Story schlecht bedient .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
11;VVPP;ADJD;behandeln;19;NZZ_1996_03_30_a27_seg8_s2;18;Full|Psp;Die Bulgaren fühlen sich von Europa im Stich gelassen , im Vergleich zu den ostmitteleuropäischen Reformstaaten überaus schlecht behandelt oder gar vor den Kopf gestossen und zurückgewiesen .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
128;VVPP;ADJD;behandeln;39;NZZ_1998_12_05_a128_seg6_s14;38;Full|Psp;Nun aber gab Bubis in einem « Spiegel » -Interview seine Interpretation dieser « Verletzbarkeit » zum besten : Dohnanyi sei « vielleicht nur verbittert , weil er sich von einer jüdischen Anwältin in einer privaten Entschädigungssache schlecht behandelt fühlt » .;nd;nd;not of interest;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
185;VVPP;ADJD;behandeln;20;NZZ_1998_05_14_a164_seg4_s29;19;Full|Psp;Ihr lebt hier in der Schweiz in einer Scheinwelt , wenn Ihr das Gefühl habt , Ihr würdet schlecht behandelt . »;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVFIN;ADJD;bekommen;40;NZZ_1995_02_18_a113_seg3_s8;39;Full|3|Sg|Past|Ind;Walton kürzte und redigierte weiter , ja er entschloss sich sogar , die Sopranpartie der Cressida für Janet Baker in eine Altpartie umzuschreiben , was dem Werk , wie die letzte Aufführung 1976 an Covent Garden bestätigte , schlecht bekam .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
65;VVFIN;ADJD;bekommen;19;NZZ_1993_02_01_a26_seg10_s1;18;Full|3|Sg|Pres|Ind;So ist mit der Monarchie in Grossbritannien eine Denkweise verbunden , die den Interessen des Landes oft schlecht bekommt - beispielsweise wenn die Herkunft nach wie vor mehr gilt als das Verdienst .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
63;VVFIN;ADJD;belohnen;6;NZZ_1997_06_02_a151_seg7_s4;5;Full|Psp;Seine Initiative wurde ebenso schlecht belohnt wie seine Dreingabe am folgenden Tag , als er im Spurt Baronti und Casagrande unterlag .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
107;VVPP;ADJD;belohnen;14;NZZ_1995_05_03_a17_seg10_s8;13;Full|Psp;Iran hält Washington noch heute vor , dass es für jenen Dienst schlecht belohnt worden sei .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
117;VVPP;ADJD;belohnen;10;NZZ_1994_07_28_a148_seg3_s3;9;Full|Psp;Die Basler wurden für eine kämpferisch beeindruckende Leistung schlecht belohnt , weil der FC Lugano in der ruppigen und zerfahrenen , von Schiedsrichter Meier unsicher geleiteten Partie den Siegestreffer nach einer einzigen Chance erzielte .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
94;VVINF;ADJD;beraten;14;NZZ_1994_10_29_a102_seg4_s13;13;Full|Psp;Maja Beutler war mit ihrer Haltung - von wem auch immer - schlecht beraten .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
111;VVPP;ADJD;beraten;7;NZZ_1995_08_02_a88_seg9_s4;6;Full|Psp;NRG hatte geltend gemacht , schlecht beraten worden zu sein , und rund 255 Mio. £ Schadenersatz plus Zinsen gefordert .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
136;VVINF;ADJD;beraten;17;NZZ_1994_01_11_a67_seg3_s13;16;Full|Psp;SBB-Sprecher Hans Wägli sagte dazu auf Anfrage , die SBB seien als Regiebetrieb des Bundes schlecht beraten , sich in politische Entscheidungen einzumischen .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
177;VVINF;ADJD;beraten;41;NZZ_1996_03_02_a58_seg3_s5;40;Full|Psp;"Wohl unter dem Eindruck einer Petition mit 83 000 Unterschriften hat der Nationalrat im letzten Oktober einem Importverbot für Waltiere zugestimmt ; der Ständerat , der sich im laufenden Monat mit der Frage zu befassen hat , wäre nicht schlecht beraten , dem negativen Entscheid seiner Kommission für Wissenschaft , Bildung und Kultur zu folgen .";nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
178;VVINF;ADJD;beraten;43;NZZ_1999_03_23_a188_seg3_s6;42;Full|Psp;Der Platzklub , in der unteren Hälfte der 1.-Liga-Rangliste der Gruppe 4 placiert , hatte sich vorzüglich auf die Zürcher eingestellt , versuchte mit weit Richtung gegnerischen 16-m-Raum geschlagenen Bällen Defizite im eigenen Mittelfeld wettzumachen und war mit dieser Taktik nicht schlecht beraten .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
16;VVPP;ADJD;besetzen;16;NZZ_1996_12_05_a50_seg24_s7;15;Full|Psp;Der pitoyable Zustand hat für mich damit zu tun , dass manche wichtigen Posten schlecht besetzt waren .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
33;VVPP;ADJD;bestellen;30;NZZ_1999_05_08_a246_seg10_s10;28;Full|Psp;Solche Happenings muss man wohl symbolisch begreifen : Beirut sucht Anschluss an Europa und das Mittelmeer , und wer Pavarotti hat , um den kann es so schlecht nicht bestellt sein .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
110;VVPP;ADJD;bestellen;28;NZZ_1997_06_02_a100_seg3_s23;27;Full|Psp;Zwar reden alle davon , dass die Natur geschützt werden muss , doch wie soll denn das nur geschehen , wenn es um die Artenkenntnis allgemein schlecht bestellt ist .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
147;VVPP;ADJD;bestellen;5;NZZ_1994_09_16_a87_seg3_s7;4;Full|Psp;Ist es so schlecht bestellt mit der Solidarität der Männer ?;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
173;VVPP;ADJD;betreuen;33;NZZ_1998_01_21_a33_seg13_s2;32;Full|Psp;Der Kammersänger Joseph Schmidt etwa , damals berühmt für seine Arie « Ein Lied geht um die Welt » , verstarb im Lager Girenbad ( Zürich ) , weil er medizinisch schlecht betreut wurde .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
137;VVFIN;ADJD;beurteilen;14;NZZ_1999_05_29_a214_seg3_s6;2;Full|3|Sg|Past|Ind;So schlecht , wie Wagner die musikalischen Rahmenbedingungen in Zürich in seiner Autobiographie beurteilte - er bezeichnet die Stadt als « das von aller öffentlichen Kunst gänzlich entblösste Zürich » - , konnten sie also nicht gewesen sein .;nd;nd;not of interest;prädikativ;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
152;VVPP;ADJD;bewähren;9;NZZ_1999_07_21_a178_seg50_s3;8;Full|Psp;Trotzdem hätten sich die Kiesbetten nicht so schlecht bewährt , wie viele Leute nun denken , sagte der Technische Beauftragte der FIA , Peter Wright .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
144;VVPP;ADJD;bezahlen;17;NZZ_1998_06_10_a79_seg8_s15;16;Full|Psp;Während der Jahre 1992 bis 1997 seien 2 Mio. neue Beamte eingestellt worden , die schlecht bezahlt und unterbeschäftigt seien und nichts Besseres zu tun hätten , als den Unternehmen das Leben zu versauern .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
43;VVFIN;ADJD;bezeichnen;14;NZZ_1996_11_27_a159_seg3_s3;13;Full|3|Sg|Past|Ind;Während der Stadtrat den Zustand des 470 Meter langen Strassenstückes als baulich schlecht bezeichnete , vertrat die RPK die gegenteilige Ansicht .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
143;VVFIN;ADJD;bezeichnen;8;NZZ_1995_04_25_a78_seg4_s2;18;Full|3|Sg|Pres|Ind;Brüssel , 24. April Die niederländische Notenbank bezeichnet das Jahr 1994 in ihrem Jahresbericht als « nicht schlecht » .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
157;VVPP;ADJD;bilden;12;NZZ_1998_01_10_a29_seg6_s21;11;Full|Psp;Die Schwarzen sind , etwas verkürzt gesagt , arm , schlecht gebildet und sehr oft arbeitslos .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
162;VVFIN;ADJD;dastehen;24;NZZ_1998_08_19_a1_seg10_s11;23;Full|3|Pl|Pres|Ind;Die republikanische Kongressführung möchte lieber Clinton als gedemütigte lahme Ente ans Ende seiner Amtszeit schleppen , damit die Demokraten bei den Präsidentenwahlen schlecht dastehen .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
85;VVPP;ADJD;durchbluten;14;NZZ_1994_06_15_a199_seg2_s5;13;Full|Psp;Besonders geeignet für eine solche Behandlung sind grosse tiefgelegene Tumore , die schlecht durchblutet sind .;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
17;VVPP;ADJD;durchführen;15;NZZ_1998_10_05_a55_seg5_s3;14;Full|Psp;"Die Fehler seien früher gemacht worden ; die vorhergehende Regierung habe das Verfahren schlecht durchgeführt und trage deshalb die Verantwortung .";prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
182;VVFIN;ADJD;eignen;26;NZZ_1995_06_16_a135_seg3_s10;25;Full|3|Sg|Pres|Subj;Der Gemeinderat ist gemäss seinen Ausführungen nicht gegen neue Musikrichtungen , vertritt hingegen die Auffassung , dass sich der Üetliberg für Veranstaltungen dieser Art schlecht eigne und diese den jahrelangen Bemühungen um die Erhaltung und Verbesserung des Naherholungsgebiets diametral entgegenstünden .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
124;VVINF;ADJD;einfangen;47;NZZ_1997_06_26_a164_seg3_s4;46;Full|-2;Nun ist es zwar tatsächlich so , dass « das Phänomen der Träume die Menschen zu allen Zeiten faszinierte und ängstigte » ( Stückzitat ) , doch ist einer der Gründe dafür die unangenehme Eigenschaft der nachttrunkenen Zerrbilder , sich bei hellem Bewusstsein so unglaublich schlecht einfangen zu lassen .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
59;VVFIN;ADJD;eingreifen;16;NZZ_1995_12_22_a111_seg3_s8;11;Full|3|Sg|Past|Ind;Anna blieb bei der Familie in Deutschland und hatte es schlecht , bis die Fürsorge eingriff , ihr eine Haushaltsausbildung verschaffte , die ein eigenes Durchkommen ermöglichte .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
21;VVPP;ADJD;einhalten;5;NZZ_1995_05_16_a157_seg11_s13;4;Full|Psp;Solche Gesetze würden schlecht eingehalten .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
150;VVPP;ADJD;einstellen;29;NZZ_1993_04_02_a137_seg1_s3;28;Full|Psp;Das gemeinsame Kantonslaboratorium von Uri , Schwyz , Ob- und Nidwalden in Brunnen hat bei einer Überprüfung von 362 Kühlanlagen festgestellt , dass « etliche » Geräte schlecht eingestellt oder reparaturbedürftig gewesen seien , wie an einer Pressekonferenz bekanntgegeben wurde .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
197;VVPP;ADJD;einstellen;29;NZZ_1993_04_02_a137_seg1_s3;28;Full|Psp;Das gemeinsame Kantonslaboratorium von Uri , Schwyz , Ob- und Nidwalden in Brunnen hat bei einer Überprüfung von 362 Kühlanlagen festgestellt , dass « etliche » Geräte schlecht eingestellt oder reparaturbedürftig gewesen seien , wie an einer Pressekonferenz bekanntgegeben wurde .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
27;VVFIN;ADJD;empfinden;47;NZZ_1996_05_04_a235_seg5_s2;45;Full|3|Sg|Pres|Ind;Nicht ohne Grund , denn eine Diskussion von « Arbeit » ist in diesem Land fast ohne Ausnahme eine Diskussion von « Arbeitsmoral » , und wie schnell wird das Bekenntnis , dass man die russische Arbeitsmoral als eigenartig , als ungenügend , als schlecht gar empfindet , dem unvorsichtig Urteilenden als simpler Rassismus ausgelegt .;nd;nd;not of interest;Vergleich;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
88;VVPP;ADJD;entlöhnen;21;NZZ_1996_01_27_a24_seg8_s6;20;Full|Psp;Auf die Qualität des Unterrichts wirkt sich weiter aus , dass die Lehrer , vor allem die Primarlehrer , schlecht entlöhnt sind .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
100;VVPP;ADJD;entwickeln;11;NZZ_1999_03_03_a93_seg4_s6;10;Full|Psp;Die Gruppe hat sich im letzten Geschäftsjahr aber keineswegs schlecht entwickelt .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
