Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
11;VVPP;ADJA;vollziehen;36;NZZ_1996_05_09_a48_seg8_s6;35;Full|Psp;Sie hat ein Leitbild erstellt, wie sich die Rechnung bis ins Jahr 2001 - die Aufhebung der Geigenbauabteilung wird bis zum Jahr 2000, vier Jahre nach dem Eintritt der letzten Auszubildenden, sukzessive vollzogen - verbessern liesse .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
12;VVINF;ADJA;verringern;11;NZZ_1994_08_20_a70_seg11_s14;10;Full|-2;Dieser Schutz wird sich jedoch mit Inkrafttreten der Gatt-Beschlüsse sukzessive verringern .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
13;VVPP;ADJA;übersteigern;19;NZZ_1995_07_26_a104_seg3_s9;18;Full|Psp;Durch das mehrfache Aneinanderfügen und Überlagern der Linien und Formen wird das Ausgangsbild, die Hand, sukzessive übersteigert .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
14;VVPP;ADJA;kürzen;13;NZZ_1998_05_15_a89_seg8_s5;12;Full|Psp;Die Versicherungsprodukte werden heute wieder im Stammhaus definiert und die Provisionen sukzessive gekürzt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
15;VVFIN;ADJA;nähern;3;NZZ_1997_04_25_a85_seg4_s5;6;Full|3|Sg|Pres|Ind;Der Konzerngewinn nähert sich damit sukzessive dem Ziel des Unternehmens, zwischen 1993 und 1998 eine Verdoppelung des Ergebnisses auf rund 240 Mio. Fr .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
16;VMFIN;ADJA;sollen;3;NZZ_1999_03_16_a28_seg11_s4;18;Mod|3|Sg|Pres|Ind;Ab 2005 soll der Verkehr dank der höheren Strassenfiskalität und der Inbetriebnahme des Lötschberg-Basistunnels ( 2006/2007 ) sukzessive zurückgehen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
17;VVINF;ADJA;konsolidieren;15;NZZ_1993_12_03_a188_seg4_s16;13;Full|-2;Falls diese Entwicklung anhalte und es der Regierung gelinge, den Haushalt sukzessive zu konsolidieren, so bestehe eine gute Chance, dass das Exportwachstum auf die inländische ( Konsum- ) Nachfrage und letztlich auf die nach wie vor über einer Quote von 11% liegende Arbeitslosigkeit durchschlage .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
18;VVINF;ADJA;erfolgen;24;NZZ_1997_06_11_a90_seg3_s3;23;Full|-2;Dabei ist die WEG insbesondere das kantonale Instrument zur « Verwaltung » des Heimfalls von Wasserrechtskonzessionen, der in den nächsten Jahrzehnten sukzessive erfolgen wird .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
19;VVPP;ADJA;installieren;22;NZZ_1993_04_23_a256_seg7_s7;21;Full|Psp;Der um 12 Uhr 45 festgestellte Schaden führte zu einem Unterbruch bis 15 Uhr 15, bevor die Anschlüsse wieder sukzessive installiert werden konnten .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
20;VVINF;ADJA;senken;45;NZZ_1994_10_20_a47_seg6_s10;43;Full|-2;Dank den im gleichen Zeitraum mit den Gewerkschaften ausgehandelten Mässigungen der Arbeitskosten und auch wegen der trüben konjunkturellen Stimmung, die bis vor einem halben Jahr herrschte, ist es gelungen, die Teuerungsimpulse aus der Abwertung zu isolieren und die Inflationsrate sukzessive zu senken .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
21;VVFIN;ADJA;beginnen;6;NZZ_1998_08_03_a192_seg3_s3;18;Full|3|Sg|Past|Ind;Die Mannschaft des FC Zürich begann gegen Xamax ansprechend, verlor dann ab Mitte der ersten Halbzeit sukzessive an Schwung und geriet schliesslich prompt in Rückstand .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
22;VMINF;ADJA;können;17;NZZ_1996_02_15_a104_seg4_s3;9;Mod|-2;Damit sollte das Kantonsinstitut nach 2 hektischen Jahren sukzessive wieder auf einen etwas ruhigeren Kurs einschwenken können .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
23;VVPP;ADJA;erheben;8;NZZ_1999_09_04_a224_seg7_s6;5;Full|Psp;Während die europäischen Stilrichtungen sukzessive zum Ideal erhoben wurden, geriet die ohnehin nie in akademischer Weise gelehrte einheimische Bautradition ins Hintertreffen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
24;VVPP;ADJA;aufbauen;22;NZZ_1998_07_13_a180_seg3_s17;21;Full|Psp;Der sprachgewandte und mit der ATP dank einem Job in dieser Organisation bestens vertraute Neffe, Claudio Hermenjat, wird sukzessive aufgebaut, damit dereinst ein nahtloser Übergang gewährleistet ist .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
25;VVPP;ADJA;reduzieren;18;NZZ_1995_12_14_a79_seg8_s4;12;Full|Psp;Nachdem sich die Mitgliedschaft bei den Gewerkschaften in den letzten Jahren sukzessive auf bescheidene 8% der Arbeitnehmer reduziert hatte, waren die « syndicats » schon fast zu einem Mauerblümchendasein verurteilt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
26;VVPP;ADJA;überdecken;45;NZZ_1995_07_12_a23_seg8_s8;37;Full|3|Sg|Pres|Ind;Denn im Bestreben, möglichst rasch an die begehrte Kohle zu kommen, hatte man früher die obersten Meter der Deckschicht - biologisch wertvolle Torfe und mineralreiche Mergel - kurzerhand in die alten Bergbaulöcher gekippt und sukzessive mit dem Aushub aus den tieferen Schichten überdeckt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
27;VAFIN;ADJA;haben;4;NZZ_1995_09_13_a128_seg4_s1;20;Haben|3|Sg|Pres|Ind;Im Bezirk Uster hat sich die Zahl der Nominationen für das bisher von der EVP innegehabte Mandat eines Bezirksanwaltes sukzessive von vier auf zwei reduziert .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
28;VVPP;ADJA;begreifen;14;NZZ_1994_12_03_a162_seg3_s16;11;Full|Psp;Durch ihr seriöses Vorgehen ist die Akzeptanz gegenüber diesem Berufsstand sukzessive im Steigen begriffen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
29;VVINF;ADJA;abschaffen;16;NZZ_1997_04_15_a68_seg4_s4;15;Full|-2;Das angestrebte Assoziierungsabkommen würde in einer Übergangsperiode von 12 Jahren Zölle im bilateralen Handel sukzessive abschaffen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
30;VVFIN;ADJA;verlieren;9;NZZ_1999_02_22_a139_seg9_s7;13;Full|3|Sg|Past|Ind;Auf der zweiten 5-km-Schlaufe bezahlte er dafür und verlor vorher gutgemachtes Terrain sukzessive .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
31;VVPP;ADJA;angleichen;6;NZZ_1996_05_03_a94_seg8_s10;5;Full|Psp;Anschliessend sollen die Saläre sukzessive angeglichen werden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
32;VVINF;ADJA;erhalten;31;NZZ_1997_09_26_a186_seg3_s1;24;Full|Psp;af. Trotz dem seinerzeitigen Nein des Souveräns zum Umbau der Zürichstrasse hat diese Hauptverkehrsachse durch das Stadtzentrum von Uster in den letzten Jahren sukzessive eine mit Grün durchsetzte fussgängerfreundliche Charakteristik erhalten .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
33;VVPP;ADJA;steigern;7;NZZ_1997_08_14_a176_seg4_s24;6;Full|Psp;Dann aber wurde das Tempo sukzessive gesteigert, bis 3000 m lagen Komen und Gebrselassie in 7 : 07 schon fast fünf Sekunden unter der Durchgangszeit des Weltrekordes .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
34;VVPP;ADJA;erweitern;6;NZZ_1995_12_02_a214_seg8_s15;5;Full|Psp;Die militärischen Anlagen werden sukzessive erweitert und nacheinander von der königlich preussischen Armee, dem kaiserlichen Heer, der Reichswehr, der Wehrmacht, den Nationalsozialisten und den Sowjets genutzt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
35;VVPP;ADJA;vergrößern;54;NZZ_1998_04_17_a14_seg5_s3;53;Full|Psp;"Abgeschafft wird lediglich das sogenannte Windows-System, das eine Staffelung der Einbürgerung nach Jahrgängen vorsah ; als 1996 der Integrationsprozess eingeleitet wurde, hatte man zunächst den 16- bis 20jährigen Nicht-Letten die Möglichkeit geboten, ein Gesuch um Einbürgerung zu stellen, und in den folgenden Jahren wurde die Gruppe der Berechtigten sukzessive vergrössert .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
36;VVPP;ADJA;verstärken;27;NZZ_1995_10_07_a29_seg7_s4;26;Full|Psp;Nicht zuletzt mit dem Hinweis auf die lange Zeit unterschätzten Umtriebe der kriminellen Sekte Aum hat die japanische Regierung in den letzten Monaten ihre Anstrengungen sukzessive verstärkt, um die Aufsicht über die religiösen Körperschaften besser regeln zu können .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
37;VMFIN;ADJA;sollen;3;NZZ_1996_03_01_a27_seg6_s2;9;Mod|3|Sg|Pres|Ind;Der Investitionsanteil soll dementsprechend von jetzt 4 Prozent sukzessive auf knapp über 30 Prozent im Jahre 2001 gesteigert werden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
38;VVFIN;ADJA;zuspitzen;16;NZZ_1994_04_06_a97_seg4_s19;15;Full|3|Sg|Past|Ind;Die Diagnose lautete alsbald auf « paranoide Schizophrenie », wobei sich das Krankheitsbild sukzessive zuspitzte .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
39;VVFIN;ADJA;rutschen;28;NZZ_1993_12_06_a102_seg3_s3;24;Full|3|Sg|Past|Ind;Seit dem 11. September musste die Mannschaft Jaras auf diesen Erfolg warten, eine Zeit, in der sie vom Kopf der Tabelle sukzessive in untere Ranglistengefilde rutschte .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
40;VVPP;ADJA;heranführen;11;NZZ_1996_11_05_a45_seg4_s18;7;Full|Psp;Im Laufe der zweiten Wochenhälfte wird sukzessive wieder kühlere Luft herangeführt, so dass die Schneefallgrenze erneut unter 1500 Meter absinkt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
41;VVFIN;ADJA;diversifizieren;26;NZZ_1998_12_28_a83_seg3_s14;23;Full|3|Sg|Past|Ind;Damit bleibt als möglicher Käufer noch die global tätige Unilever-Gruppe, welche in den letzten Jahren von ihrer traditionellen Waschpulver- und Seifenproduktion sukzessive ins Parfumgeschäft diversifizierte und bereits über international bedeutsame Marken wie Elisabeth Arden, Helene Curtis und Calvin Klein verfügt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
42;VVINF;ADJA;schließen;8;NZZ_1996_06_07_a29_seg1_s17;7;Full|-2;Das neue Gleichstellungsgesetz wird diese Lücke sukzessive schliessen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
43;VVPP;ADJA;abbauen;38;NZZ_1998_12_03_a78_seg4_s5;37;Full|Psp;Im Bereich der Fiskalpolitik vertritt die Pariser Organisation wie schon im Vorjahr die Meinung, es sei darauf hinzuwirken, dass das im OECD-Vergleich immer noch ( zu ) hohe Verhältnis von öffentlicher Verschuldung zum Bruttoinlandprodukt sukzessive abgebaut werden müsse, was indessen gezielte Steuerreduktionen nicht ausschliesse .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
44;VVFIN;ADJA;steigern;10;NZZ_1995_07_19_a2_seg3_s10;15;Full|3|Sg|Pres|Ind;Laut Angaben des Sprechers des Kremls, Medwedjew, steigert Jelzin sein Arbeitspensum wieder sukzessive .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
45;VVPP;ADJA;abbauen;25;NZZ_1995_08_26_a59_seg4_s9;24;Full|Psp;Dann aber dehnt sich das Azorenhoch nach Norden aus, und sein zu den Alpen reichender Keil wird durch aus Nordwesten heranziehende Störungszonen sukzessive abgebaut, wobei uns der Sonntag stark veränderliches Wetter mit zeitweisem Regen und nur noch gelegentlichen Sonnenschein bringt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
46;VVINF;ADJA;erfolgen;14;NZZ_1994_11_21_a190_seg11_s7;13;Full|-2;Auch die Inbetriebnahme der Führungssimulatoren in Kriens, Winterthur und Colombier wird sukzessive erfolgen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
47;VVINF;ADJA;steigen;9;NZZ_1994_10_07_a101_seg57_s6;7;Full|-2;Auf der Alpennordseite begann das Thermometer sukzessive zu steigen, speziell als vom 23. an der Föhn einsetzte und die Temperatur vor allem im Churer Rheintal bis nahe an die 30-Grad-Grenze hinauf trieb .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
48;VVPP;ADJA;hochfahren;31;NZZ_1993_04_02_a187_seg10_s8;30;Full|Psp;Der in der Konzernleitung dafür zuständige René M. Lüthy meinte, nach den Mitte März durchgeführten Abnahmeversuchen könne in den nächsten sechs Monaten die Organisation eingespielt und die Anlage sukzessive hochgefahren werden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
49;VVFIN;ADJA;verbessern;4;NZZ_1997_10_16_a171_seg11_s3;9;Full|3|Sg|Past|Ind;Nach dem Comeback verbesserte sich die Mannschaft Anaheims sukzessive und erreichte das Rennen um den Stanley-Cup zum erstenmal in der kurzen Geschichte .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
50;VVINF;ADJA;gehen;31;NZZ_1996_01_24_a95_seg2_s9;26;Full|-2;Das Aktienkapital hätte gemäss den damaligen Plänen nur vorübergehend bei den eigens zu diesem Zweck gegründeten Bankstiftungen « parkiert » werden sollen, um anschliessend sukzessive an den Markt zu gehen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
51;VVPP;ADJA;zerstören;8;NZZ_1994_09_28_a116_seg4_s5;7;Full|Psp;Die sozialen Strukturen der Bevölkerung würden sukzessive zerstört .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
52;VMFIN;ADJA;dürfen;25;NZZ_1998_10_20_a212_seg15_s1;6;Mod|3|Pl|Past|Subj;Da die höheren Fachschulen inzwischen sukzessive zu Fachhochschulen werden, ihre Absolventen somit - von der realen Qualifikation einmal abgesehen - an Ansehen gewinnen dürften, ist ein Vergleich zwischen diesen und den Hochschulabgängern von besonderem Interesse .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
53;VVFIN;ADJA;vorschieben;15;NZZ_1995_03_25_a55_seg4_s2;10;Full|3|Sg|Past|Ind;Die Hochdruckzone, die sich seit Wochenbeginn vom Ostatlantik sukzessive in den Kontinent hinein vorschob, konnte ihren Einfluss auf den Wetterablauf in unserem Lande nur zögernd durchsetzen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
54;VVPP;ADJA;abwickeln;8;NZZ_1997_02_01_a105_seg3_s3;4;Full|Psp;Die Verkäufe wurden sukzessive über den Markt abgewickelt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
55;VVPP;ADJA;drosseln;6;NZZ_1997_02_15_a25_seg12_s16;5;Full|Psp;Dann musste die Produktion sukzessive gedrosselt werden, und seit einigen Tagen sind die Backöfen kalt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
56;VVFIN;ADJA;steigen;3;NZZ_1999_12_02_a229_seg5_s1;9;Full|3|Sg|Past|Ind;FTI Schweiz stieg bereits in den letzten Jahren sukzessive mit direkten Flügen ab Basel, Friedrichshafen und Genf in die Dominikanische Republik und nach Kuba ins Karibik-Geschäft ein .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
57;VVPP;ADJA;abbauen;16;NZZ_1994_04_20_a148_seg8_s11;15;Full|Psp;Die behördliche Betreuung im Heim Lilienberg, die schon seit Juni des vergangenen Jahres sukzessive abgebaut wurde, kann nun praktisch ganz eingestellt werden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
58;VVINF;ADJA;steigern;13;NZZ_1994_09_02_a147_seg5_s5;11;Full|-2;Sie ermöglicht es, die Strahlendosen ohne Gefährdung der Patienten sukzessive zu steigern .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
59;VVFIN;ADJA;verschieben;5;NZZ_1998_08_04_a44_seg4_s14;13;Full|3|Sg|Pres|Ind;In der zweiten Wochenhälfte verschiebt sich der Schwerpunkt der zonal ausgerichteten Antizyklone sukzessive in den Kontinent hinein, wo sich ein aus Warmluft aufgebautes Hoch entwickelt, auf dessen Nordflanke die atlantischen Störungen in einer Westströmung nach Osten ziehen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
60;VVPP;ADJA;verlieren;12;NZZ_1996_03_08_a28_seg8_s9;9;Full|Psp;Basel hat damit als Standort innerhalb der Konzerne sukzessive an Bedeutung verloren .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
61;VVIZU;ADJA;wiederaufbauen;26;NZZ_1994_06_18_a150_seg9_s2;25;Full|zu;Ihre - wenn auch begrenzten - Erfolge ermöglichten den Palästinensern, das 1948 durch den gewaltsamen Abbruch aller persönlichen und kollektiven Identitätsmomente zerstörte Selbstwertgefühl sukzessive wiederaufzubauen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
