;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
407249;NZZ_1993_02_06_a91_seg22_s7;Dass die assoziativen Wanderungen auf dem Schreibpapier , die Verleihung einer menschlichen Stimme an die Natur , das Sichtbarmachen des Unsichtbaren , welches auch als eine leise Kritik an unserer Wahrnehmung gelesen werden kann , dass all dies mit dem Bewusstwerden von Sprach- und Schreibgrenzen verbunden ist , kommt vor allem im letzten Prosastück , « Durch einen Mandelbaumgarten » , zur Sprache , wo das Erzähler-Ich schliesslich zur Kapitulation gezwungen wird :;ADJA;Kritik;28;Reg|Nom|Sg|Fem;NN;27
451156;NZZ_1993_02_16_a43_seg4_s15;Insgesamt aber überzeugt der zudem sehr leise laufende Boxer mit straffer und kraftvoller Laufkultur .;ADJD;laufend;8;Pos|Nom|Sg|Masc;ADJA;7
463250;NZZ_1993_02_18_a131_seg2_s2;Klosters hat sich über Nacht in ein Wintermärchen verwandelt , still und leise sind 30 cm Schnee gefallen .;ADJD;und;12;Coord|-2;KON;13
476838;NZZ_1993_02_20_a152_seg2_s57;Wie ein Kind , murmelt er , der Hüter ihres Schlafs , und lacht leise .;ADJD;lachen;14;Full|3|Sg|Pres|Ind;VVFIN;15
484603;NZZ_1993_02_23_a36_seg2_s6;Er reagierte sehr laut oder sehr leise .;ADJD;oder;5;Coord|-2;KON;7
489855;NZZ_1993_02_24_a72_seg2_s1;Bern , 23. Febr. ( sda ) Still und leise werden die einst hochfliegenden Pläne für eine Erweiterung des Parlamentsgebäudes in Bern begraben .;ADJD;werden;11;Aux|3|Pl|Pres|Ind;VAINF;10
496948;NZZ_1993_02_25_a131_seg12_s5;Der Begleiter schaut , ob noch jemand zuhört , und sagt dann leise : Ja .;ADJD;sagen;11;Full|3|Sg|Pres|Ind;VVFIN;13
505552;NZZ_1993_02_26_a257_seg2_s14;Ferner seien ab Mitternacht nur noch verhältnismässig leise Arbeiten zulässig .;ADJA;Arbeit;9;Reg|Nom|Pl|Fem;NN;8
506409;NZZ_1993_01_30_a32_seg5_s3;Jede Stunde übertönt noch heute der harte Paradeschritt der Wachablösung die leise Hintergrundmusik , wenn die hochgewachsenen Elitesoldaten starren Blickes zu ihrem Posten marschieren .;ADJA;Hintergrundmusik;13;Reg|Nom|Sg|Fem;NN;12
511488;NZZ_1993_01_30_a137_seg2_s5;Auch oben auf der Brücke scheint alles wie immer zu sein : im abgedunkelten Raum hört man , neben dem dumpfen Hämmern der Diesel tief unten im Schiffsbauch , nur die leise Stimme des Ersten Offiziers .;ADJA;Stimme;33;Reg|Nom|Sg|Fem;NN;32
529900;NZZ_1994_04_06_a155_seg3_s8;Schiblis leise Angst war nicht unbegründet , wie sich zeigte .;ADJA;Angst;3;Reg|Nom|Sg|Fem;NN;2
545944;NZZ_1994_04_09_a119_seg10_s6;Die Äste wiegen leise rhythmisch über mir , daran in regelmässigen Abständen die Kapseln der Bucheckern , kleine dreikantige Mandalas , einzelne springen sternförmig auf , katapultieren ihre Samen aufs Zeltdach und auf den vermoosten Boden : immer noch leuchten ein paar Maulbeeren im tiefblauen Himmel .;ADJD;rhythmisch;5;Pos;ADJD;4
545955;NZZ_1994_04_09_a119_seg12_s4;War ein klagender Ton in der Stimme ihrer Grossmutter , diskret leise ?;ADJD;No Head;1;No Head;No Head;12
545978;NZZ_1994_04_09_a119_seg12_s27;Ihre leise Ahnung , wahrscheinlich schon damals nicht zum ersten Mal , dass es unfreiwillige Helden , oder genauer : dass es auch unfreiwilligen Widerstand gibt .;ADJA;Ahnung;3;Reg|Nom|Sg|Fem;NN;2
546007;NZZ_1994_04_09_a119_seg18_s10;Die Stimme ist nicht mehr leise .;ADJD;sein;3;Sein|3|Sg|Pres|Ind;VAFIN;6
562140;NZZ_1994_04_13_a105_seg7_s15;Beide , Dodin und Langhoff , haben Tschechows Ernst und seinen Sinn für Ironie in ihre Sprache übersetzt : der eine leise , der andere laut .;ADJD;Sprache;17;Reg|Acc|Sg|Fem;NN;22
574709;NZZ_1994_04_15_a144_seg3_s5;Der gleiche Kontrast auch in Marla Glens Musik : Den ersten Song stimmt sie leise , begleitet nur vom Keyboarder und von zwei Chorsängerinnen , an .;ADJD;stimmen;13;Full|3|Sg|Pres|Ind;VVFIN;15
574718;NZZ_1994_04_15_a144_seg3_s14;In « Believer » , einem der wenigen Songs , in denen Marla Glen private Gefühle anspricht , wird die Stimmung dann wieder leise , fast melancholisch .;ADJD;werden;19;Aux|3|Sg|Pres|Ind;VAFIN;24
577482;NZZ_1994_04_15_a199_seg6_s16;"Die Filme über « Fremde Kinder » sind geduldig und leise im Ton , und sie sind vor allem Dokumentarfilme ; ihre Geschichte erzählen sie mittels Bild , Montage und Schnitt .";ADJD;und;10;Coord|-2;KON;11
585729;NZZ_1994_04_16_a216_seg4_s11;Ich möchte Euch sachte und leise hinlocken , um Euch nicht mit Schwellenängsten zu schrecken ... Wir gehen frühmorgens hin , mit nüchternem Magen , wenn noch kein Geschäft läuft , wenn das Publikum noch den Kater von gestern kuriert und der Ticketverkäufer die Münzen rollt , um sie auf der Post gegen Scheine zu wechseln .;ADJA;und;5;Coord|-2;KON;6
655809;NZZ_1994_03_31_a260_seg3_s1;Paris vom Wasser aus erleben , auf dem Sonnendeck in eine leise vorbeiziehende Landschaft träumen , Ausflüge zu historischen Stätten unternehmen und sich dazwischen kulinarisch verwöhnen lassen - dies und noch einiges mehr bietet die fünftägige Seine-Fahrt mit dem Kabinenschiff « MS Normandie » von Paris nach Honfleur .;ADJA;Landschaft;14;Reg|Acc|Sg|Fem;NN;12
658435;NZZ_1994_08_02_a107_seg15_s7;So sieht das ideale Museum aus : in einem wunderschön lichten Gebäude unter weitgespannten Glasdächern gelangt man von Schauräumen in Wandelhallen , von Bibliotheken und die Konzentration fördernden Leseräumen in Debattiersäle und Vorführnischen , von Cafeterias , in denen es nach bestem Espresso riecht , in leise dunkle Säle , wo junge und alte Menschen sich am Brettspiel oder am Billardtisch vergnügen , dann wieder hinaus in helle offene Innenhöfe , wo man die Wintergärten sieht und in wärmeren Jahreszeiten die Brunnen plätschern hört - grosszügig und intim zugleich , zugängig jederzeit , über 24 Stunden hinweg , an sieben Tagen der Woche , keine anderen Feiertage kennend als die , die man eben in diesem Museum verbringt .;ADJA;Saal;49;Reg|Acc|Pl|Masc;NN;47
678598;NZZ_1994_08_06_a90_seg7_s13;Ihr Nachbar schnarcht leise .;ADJD;schnarchen;3;Full|3|Sg|Pres|Ind;VVFIN;4
678602;NZZ_1994_08_06_a90_seg7_s17;Die Klimaanlage summt leise .;ADJD;summen;3;Full|3|Sg|Pres|Ind;VVFIN;4
679622;NZZ_1994_08_06_a129_seg5_s15;Dann leise , gerade noch zu ahnen , die Klänge eines Trauermarsches .;ADJD;ahnen;7;Full|-2;VVINF;2
683344;NZZ_1994_08_06_a211_seg3_s11;Ein Wimmern liess sich hören , leise erst , dann immer lauter .;ADJD;erst;8;--;ADV;7
685414;NZZ_1994_08_08_a84_seg9_s4;Durch einen Tunnel und später unter der stolzen Eisenbahnbrücke hindurch erreicht der Weg , stets begleitet vom Flüsschen , das bald leise dahinfliesst , bald über Schwellen und Felsbarrieren schäumt , die den Kanuten von Glattfelden just noch eine willkommene Trainingsmöglichkeit bieten , das ( vorläufige ? );ADJD;dahinfließen;23;Full|2|Sg|Pres|Ind;VVFIN;22
692348;NZZ_1994_08_09_a149_seg3_s5;Trotzdem machte sich schliesslich eine leise Enttäuschung breit , denn mit einem ausgesprochen schlechten Start hatte Dollé , eigentlich bevor das Rennen richtig begann , jede Aussicht auf den vierten Platz verloren .;ADJA;Enttäuschung;7;Reg|Nom|Sg|Fem;NN;6
695436;NZZ_1994_08_10_a79_seg4_s11;Am Rande dieser grossen Panoramen laden in Edinburg und Glasgow eine Reihe kleinerer Ausstellungen zur Konzentration auf leise Akzente ein .;ADJA;Akzent;19;Reg|Acc|Pl|Masc;NN;18
696294;NZZ_1994_08_10_a116_seg6_s4;« Ich habe immer gesagt , für mich sei nach all den verletzungsbedingten Problemen der Halbfinal schon der Final » , meinte Baumann unmittelbar nach dem Lauf zuerst doch leise enttäuscht .;ADJD;enttäuschen;31;Full|Psp;ADJD;30
701333;NZZ_1994_08_11_a145_seg7_s14;"Ebenfalls ausgeschieden ist über 200 m Alain Reimann ; auch wenn er die zweite Runde nur knapp nicht schaffte , müssen die 42 s doch als leise Enttäuschung gewertet werden - die bisher einzige im Schweizer Team .";ADJA;Enttäuschung;28;Reg|Nom|Sg|Fem;NN;27
711263;NZZ_1994_08_13_a128_seg7_s5;Huber zitiert Hölderlin nicht ohne leise Genugtuung , diente doch gerade dieser Autor vielen « poststrukturellen » Komponisten der achtziger Jahre als Legitimationsinstanz für eine Schreibweise , die sich dem subjektiven Zeitempfinden überlässt und den objektiven Aspekt der « gemessenen » Zeit vernachlässigt .;ADJA;Genugtuung;7;Reg|Acc|Sg|Fem;NN;6
716861;NZZ_1994_08_15_a92_seg3_s5;Kurt Sigrist konnte eine leise Enttäuschung nicht verbergen .;ADJA;Enttäuschung;6;Reg|Nom|Sg|Fem;NN;5
722009;NZZ_1994_08_16_a84_seg3_s37;Zunächst geht alles seinen Gang , das Thema steigert sich mächtig in der Dynamik , es kommt , wie im Traum eingeschoben , die leise , entrückte Mazurka-Episode .;ADJD;--;28;Reg|Nom|Sg|Fem;NN;25
737042;NZZ_1994_08_19_a141_seg7_s9;Loderer übte auch leise Kritik an der alten Dame SVW .;ADJA;Kritik;5;Reg|Nom|Sg|Fem;NN;4
743524;NZZ_1994_08_20_a123_seg8_s2;Irritierend scheint aber ein Trend , der scheinbar leise und unprätentiös daherkommt , sich aber durch hohe Verkaufszahlen als bereits konsolidiert erweist : eine in der Breite verstärkte « Rückkehr » oder genauer eigentlich « Entdeckung » der Einfachheit mit einer Buchproduktion , die anscheinend ganz zielsicher Zulieferer für einen zeitgeistgemässen , leichten Lektüregenuss sein möchte .;ADJD;und;10;Coord|-2;KON;9
747617;NZZ_1994_08_20_a212_seg4_s3;"Das leise , aber scharfe Scheppern aus dem Kopfhörer weckt den Sprössling ; schläfrige Augen blinzeln in Vaters Nacken , fallen bald wieder zu - aber es gibt keine Ruhe , keinen Schlaf mehr .";ADJA;Scheppern;6;Reg|Nom|Sg|Neut;NN;2
764209;NZZ_1994_08_25_a91_seg4_s17;Nur : die Erzählerin tritt - wie gesagt , episodenweise - in die wechselnden Besetzungen des Lebens um Willi jeweils als eine Person , die zu diesem Leben nicht ganz gehört , mit Willi selber jedoch verbunden ist , da sie ihn erstens von Kind auf kennt , und zweitens durch ein spezifisches , individuelles Gefühl , eine leise , oder halblaute Verliebtheit .;ADJA;oder;61;Coord|-2;KON;59
764308;NZZ_1994_08_25_a96_seg4_s3;Der Duft entschwindet zuallerletzt : diese leise Ahnung von verschlafenen Leibern , von leichtem , blutjungem Atem , dieser Duft der Notwendigkeit , der die Familie in ihren frühen Jahren vollkommen macht .;ADJA;Ahnung;8;Reg|Nom|Sg|Fem;NN;7
769620;NZZ_1994_08_26_a123_seg7_s5;Ich habe es bei meinen unzähligen Kontrollen von Nestern am Grossmünster und am Schloss Greifensee , dessen Dohlenkolonie ich seit ihrer Entstehung vor zehn Jahren betreue , kein einziges Mal erlebt , nicht einmal nachts , dass einer der Altvögel in der Brutnische zugegen war , wenn ich sie öffnete , ich mochte dabei noch so behutsam und leise vorgehen .;ADJD;und;58;Coord|-2;KON;59
