id;global_id;kontext;cor_conceptual_head_+1_lemma;target_noun_lemma;Kommentar;Status;Adverbial;prozess;Typ;Valenz;prep_meaning_parent;prep_meaning_leaves;;;;;;;;;
12;nzz_1993_08_28_a79_seg5_s7;Seine Kleidung ergänzt ein gemalter Brustpanzer , er trägt einen beisszangenähnlichen Dolch im Ledergürtel , die Beinschmuckplatten sind von historischem wie auch von ästhetischem Interesse : zwei Europäer sind darauf dargestellt , der eine mit Spazierstock und der andere in einem plissierten Mantel , dem Kostüm des europäischen Händlers . ;eine;spazierstock;Depiktiv;not_of_interest;;;;;modal vorhandensein ;synthetisch ein_vorgang ;;;;;;;;;
13;nzz_1993_08_25_a32_seg6_s3;Dank dem bulligen Drehmoment von 375 Nm bei 3050 U./min reagiert der 5,2 l unabhängig von der jeweiligen Drehzahl auf Gasbefehle mit kräftigem Antritt und bietet Fahrleistungen , wie man sie sonst nur von Personenwagen her gewohnt ist . ;reagieren;antritt;;done;yes;yes;rein;frei;regiert modal ;regiert ein_vorgang ;;;;;;;;;
14;nzz_1997_01_09_a113_seg6_s12;Tintin , so wird er mit der trotzigen Devise des rechten Fussvolks erklären , sei unpolitisch . ;erklären;devise;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
15;nzz_1993_09_22_a172_seg2_s12;- Geniessen wir also am Mittwoch den letzten sonnigen Tag des Sommers , der sich mit einem bemerkenswerten Abgang aus der Verantwortung stiehlt . ;stehlen;abgang;vorgang;not_of_interest;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
16;nzz_1993_09_23_a221_seg9_s6;Mit einem Seitenhieb auf die Kantonsratsdebatte über die Arbeitslosigkeit vom letzten Montag bemerkte Schmid bezüglich einer regelmässigen Sozialberichterstattung , dass über mangelndes Geld zu jammern kein konstruktiver Beitrag sei , gefragt seien vielmehr konkrete Programme und überparteiliche Zusammenarbeit . ;bemerken;seitenhieb;BU;done;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
17;nzz_1993_09_24_a29_seg6_s3;Die First Lady wurde am Mittwoch abend von den Kongressvertretern auf dem Capitol mit einer stehenden Ovation empfangen - auch die oppositionellen Republikaner klatschten bei diesem rituellen Tribut höflich mit . ;empfangen;ovation;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
18;nzz_1995_08_02_a35_seg3_s15;Generell wurde dort der Tag mit reichhaltigem Unterhaltungsprogramm als Volksfest begangen . ;begehen;unterhaltungsprogramm;;done;yes;yes;rein;notwendig;modal ;ein_vorgang ;;;;;;;;;
19;nzz_1994_01_03_a83_seg2_s6;Er sprach Zürcher Dialekt mit ausländischem Akzent . ;sprechen;akzent;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
20;nzz_1994_01_08_a86_seg17_s7;Seine Utopie wäre ein Zentrum für internationale Gesundheit , an dem Projekte mit ganzheitlichem Ansatz transdisziplinär realisiert würden . ;projekt;ansatz;ambig ModNP;done;yes;yes;methode;frei;modal vorhandensein ;vorhandensein_im_engeren_sinne ein_vorgang ;;;;;;;;;
21;nzz_1994_01_05_a161_seg12_s12;Indiumfolien findet man in gewissen Strahlungsdetektoren : durch niederenergetische Neutronen wird im Indium Radioaktivität mit sehr hohem Wirkungsgrad induziert . ;induzieren;wirkungsgrad;ambig ModNP;done;yes;yes;methode;frei;modal vorhandensein ;vorhandensein_im_engeren_sinne ein_vorgang ;;;;;;;;;
22;nzz_1994_01_04_a117_seg2_s5;Der Unbekannte , der Zürcher Dialekt mit ausländischem Akzent sprach , ist etwa 35 Jahre alt und 175 Zentimeter gross . ;sprechen;akzent;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
23;nzz_1994_02_26_a200_seg4_s149;Mit grosser Kelle angerichtet haben ehemalige Militärfahrer in Rukungiri . ;anrichten;kelle;ambig INSTR;done;yes;yes;rein;frei;modal ;ist_instrument ein_vorgang ;;;;;;;;;
24;nzz_1994_01_05_a164_seg11_s17;Es stellt sich natürlich die Frage , ob Kometen bei einer Kollision mit der Erde ihr Inventar an präbiotischen organischen Molekülen mit vernünftigem Wirkungsgrad transferieren können . ;transferieren;wirkungsgrad;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
25;nzz_1994_01_04_a67_seg3_s13;Rund ein Drittel der Abwässer wird aber derzeit in Anlagen mit ungenügendem Wirkungsgrad gereinigt . ;reinigen;wirkungsgrad;ModNP;not_of_interest;no;;;;modal vorhandensein ;vorhandensein_im_engeren_sinne ein_vorgang ;;;;;;;;;
26;nzz_1994_01_04_a43_seg11_s6;Sie wurde von einer Richtlinie der Regierung begleitet , die es den Unternehmen bei Massenentlassungen erlaubte , sich mit Vorzug von Arbeitnehmern zu trennen , die über 55 Jahre alt waren . ;trennen;vorzug;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
27;nzz_1993_02_02_a103_seg5_s9;Unter den Damen blicken vorab Ulrike Maier und Anita Wachter mit erhöhtem Puls ihren WM-Engagements entgegen . ;blicken;puls;Depiktiv;not_of_interest;no;no;;;modal ;ein_vorgang ;;;;;;;;;
28;nzz_1993_12_30_a153_seg2_s17;Die Männer verständigten sich nur auf Englisch mit starkem fremdem Akzent . ;englisch;akzent;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
29;nzz_1999_06_16_a173_seg3_s11;Die « Winghorse » -Übung wurde an den zwei Tagen mit jeweils gleichem Szenarium durchgeführt . ;durchführen;szenarium;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
30;nzz_1999_06_18_a135_seg4_s2;Als er Ende der vierziger Jahre mit heftiger Geste breite , dunkle Farbspuren auf die Leinwand warf , deren Bewegungsbahnen sich zu kalligraphisch anmutenden Zeichen verschlangen , behauptete er mit Nachdruck , kein gestischer Maler zu sein . ;werfen;geste;anim;done;yes;yes;agens;frei;modal ;ein_vorgang ;;;;;;;;;
31;nzz_1999_06_12_a155_seg7_s1;"In der Rotunde des Padiglione d &apos; Italia eröffnet James Lee Byars riesiges vergoldetes Tongefäss « The Spinning Oracle of Delphi » den Parcours mit grosser Geste . ";parcours;geste;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
32;nzz_1995_10_06_a90_seg10_s3;In der Praxis sind zwei Spielarten feststellbar : In der ersten Variante bieten Betrüger oder Betrügerbanden scheinbar offizielle Bankdokumente von erstklassigen Banken potentiellen Anlegern zum Kauf mit dem Zwecke des Wiederverkaufs mit hohem Gewinn an . ;kauf;zweck;BU;problem;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
33;nzz_1993_06_05_a122_seg5_s2;Der private Konsum , die gewichtigste gesamtwirtschaftliche Nachfragekomponente , sank erneut , allerdings mit einer geringeren Rate von 1,9% . ;sinken;rate;;done;yes;yes;degree;frei;modal ;ein_vorgang ;;;;;;;;;
34;nzz_1993_06_04_a213_seg2_s10;"Den beiden Vorlagen ist vor allen Dingen vom Thalwiler Handwerk- und Gewerbeverein Opposition erwachsen ; er setzt sich gegen jegliche Aufhebung von Parkplätzen zur Wehr und wirbt auf Plakaten mit dem Slogan « Parkplatzverlust - Einkaufsfrust » für ein Nein sowohl zur sozialdemokratischen Initiative als auch zum gemeinderätlichen Antrag . ";werben;slogan;ambig ModNP;problem;yes;yes;methode;frei;modal ;ein_vorgang ;;;;;;;;;
35;nzz_1993_06_04_a51_seg50_s12;Iten ( cvp. , Nidwalden ) stimmt mit dem Vorbehalt des Provisoriums und im Bewusstsein um die faktischen Grenzen der Strafverfolgungsmöglichkeiten dem Mehrheitsvorschlag zu . ;stimmen;vorbehalt;anim;done;yes;yes;agens;frei;modal ;ein_vorgang ;;;;;;;;;
36;nzz_1993_06_04_a168_seg8_s11;Lediglich auf den Strecken über sehr lange Abstände soll die erste Klasse vorerst noch erhalten bleiben , vielleicht aber mit einem Zuschlag auf der Business Class zur Verfügung gestellt werden . ;stellen;zuschlag;;done;yes;yes;rein;frei;modal vorhandensein ;vorhandensein_im_engeren_sinne ein_vorgang ;;;;;;;;;
37;nzz_1993_06_04_a206_seg2_s3;Geführt wird sie von sechs Hebammen und einer Hotelfachfrau , die im März 1992 einen Verein gegründet hatten mit dem Zweck , eine selbstbestimmte , natürliche und ganzheitliche Schwangerschaft , Geburt und Wochenbettpflege zu ermöglichen . ;ermöglichen;zweck;Mod NP, Referenzadv;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
38;nzz_1993_06_04_a86_seg10_s15;Mit dem Schlagwort der Privatisierung liessen sich die Probleme der SBB nicht lösen . ;lassen;schlagwort;ambig INSTR;problem;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
39;nzz_1996_05_08_a141_seg3_s9;Anderseits sind die in unterschiedlicher Distanz zur afrikanischen Bevölkerung positionierten weissen Protagonisten des Romans ebenfalls mit harsch karikierendem Strich entworfen . ;entwerfen;strich;;done;yes;yes;methode;frei;modal ;ein_vorgang ;;;;;;;;;
40;nzz_1996_05_09_a142_seg3_s19;Denn der amerikanische Dirigent John Mauceri führt das Orchestre de la Suisse romande mit blossem Akzent auf den Effekt und ohne die Fähigkeit , den klanglichen und teilweise geradezu experimentellen Qualitäten der Partitur Gehör zu verschaffen . ;führen;akzent;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
41;nzz_1996_05_10_a176_seg3_s7;"Die seltenen Stopfpräparate , eines dem Zoologischen Museum Zürich gehörend , eines eine Leihgabe des Musée d &apos; Histoire Naturelle in Neuenburg , haben einen Bedeutungswandel durchgemacht : Es sind zwar immer noch Prestigestücke eines Museums , doch stehen sie heute vor allem als Mahnmal für die mit unvorstellbarer und noch zunehmender Kadenz aussterbenden Arten . ";aussterbend;kadenz;;done;yes;yes;degree;frei;modal ;ein_vorgang ;;;;;;;;;
42;nzz_1996_05_07_a37_seg9_s1;Das Aquatische System wurde als Fliessgewässer für Fische , als flaches Stillgewässer mit Röhricht , mit gestuftem Waldrand und mit trockenen Kiesflächen gestaltet . ;na;waldrand;ModNP;not_of_interest;no;;;;modal ;ein_vorgang ;;;;;;;;;
43;nzz_1996_05_10_a133_seg3_s5;"In festem Tempo und rhythmisch konzis wird von dem klein besetzten , durch den Solisten selbst geleiteten Orchester der eröffnende Es-Dur-Akkord aufgeblättert ; die ( vor den formalen Gepflogenheiten der damaligen Zeit ungewöhnlich prompte ) Antwort des Klaviers erfolgt scharf artikuliert , mit energischer Attacke . ";erfolgen;attacke;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
44;nzz_1996_05_07_a126_seg3_s21;Wer vor der Kamera Auskunft gibt , vertraut dem Deutschen oder wagt sich nur mit Vorsicht und dann mit Akzent auf die französischen Äste hinaus - doch immerhin mit sprödem Charme . ;mit;akzent;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
45;nzz_1993_04_17_a12_seg6_s6;"Zu den heftigsten , aber meistens rational argumentierenden Gegnern Andreottis gehörte die Römer Zeitung « La Repubblica » ; sie begegnet den Aussagen der Mafia-Überläufer mit deutlichem Vorbehalt . ";begegnen;vorbehalt;anim_like;done;yes;yes;agens;notwendig;modal ;ein_vorgang ;;;;;;;;;
46;nzz_1993_04_17_a75_seg32_s2;... Bis hierhin , bis ihm warm wurde wegen der nun gründelnden Ente , wollte er denken und nichts anderes zulassen , bis er , womöglich mit trockenem Gefieder , weitergehen könnte , ihm wurde noch wärmer , bis es - und wieder ein bisschen kälter - mit ihm noch einmal irgendwie weiterging . » ;weitergehen;gefieder;BU;not_of_interest;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
47;nzz_1999_04_19_a82_seg4_s1;Mit Handicap in den Spuren der Stars ;na;handicap;title;not_of_interest;;;;;modal ;ein_vorgang ;;;;;;;;;
48;nzz_1999_04_20_a252_seg4_s20;Zwar trifft zu , dass unter den rund 240 im Media-Guide der LPGA mit Photo aufgeführten Spielerinnen etwas mehr als ein Dutzend von gelber , aber keine einzige von schwarzer Hautfarbe ist . ;--;photo;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
49;nzz_1994_02_22_a62_seg12_s8;In diesem Zusammenhang heisst es einmal mit einer Spitze gegen die Regierung in Bern , sie halte zwar an der EU-Mitgliedschaft als Fernziel fest , taste sich aber aus innenpolitischen Rücksichten eher ratlos voran . ;heißen;spitze;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
50;nzz_1994_02_21_a103_seg5_s1;Die private oder halbprivate Spitalversicherung hat für den betroffenen Patienten nicht nur den Vorteil eines Einerzimmers , wie dies oft mit einem Seitenhieb auf angeblichen Luxus dargestellt wird . ;darstellen;seitenhieb;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
51;nzz_1995_10_30_a9_seg2_s5;Der Fall erregte besonderes Aufsehen , weil die Opfer nicht wie üblich erschossen , sondern mit durchgeschnittener Kehle aufgefunden wurden . ;auffinden;kehle;Depiktiv;not_of_interest;no;;;;modal ;ein_vorgang ;;;;;;;;;
52;nzz_1995_09_02_a20_seg3_s7;Laut dem Bericht am österreichischen Radio hat sich bei der Polizei am Donnerstag mittag ein anonymer Anrufer mit ausländischem Akzent gemeldet , der mitteilte , dass in einem Auto hinter der Polizeistation der Sohn des slowakischen Staatspräsidenten liege . ;melden;akzent;;done;yes;yes;rein;frei;modal vorhandensein ;analytisch ein_vorgang ;;;;;;;;;
53;nzz_1995_09_02_a45_seg1_s2;Die « Schaffhauser AZ » ist am Freitag erstmals mit erweiterter Ausgabe erschienen . ;erscheinen;ausgabe;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
54;nzz_1993_10_29_a43_seg2_s11;Weitere Diskussionen betrafen künftige Projekte der Akademie , die sich verstärkt als Arbeits- sowie , mit einem Schwerpunkt in der Auseinandersetzung und Zusammenarbeit mit jüngeren Künstlern , als « junge » Akademie profilieren will . ;profilieren;schwerpunkt;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
55;nzz_1993_09_30_a40_seg2_s22;Der Klettersteig wurde am vergangenen 3. September mit 40 Gästen und den Haslitaler Führern durchstiegen , mit einer würdigen Feier auf dem Gipfel offiziell eingeweiht und der Öffentlichkeit übergeben . ;einweihen;feier;Ereignis/Handlung;not_of_interest;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
56;nzz_1993_09_30_a196_seg4_s8;Der Antrag , den Gegenvorschlag des Gemeinderates zurückzuweisen mit dem Auftrag , unverzüglich die Revision des Richtplans einzuleiten , wurde mit deutlichem Mehr abgelehnt . ;zurückweisen;auftrag;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
57;nzz_1998_07_06_a28_seg2_s3;Der Präsident der Zürcher SVP erklärte sich bereit , der von ihm verschmähten « classe politique » mit angezogener Handbremse an den Karren zu fahren . ;fahren;handbremse;BU;not_of_interest;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
58;nzz_1998_07_10_a17_seg7_s12;Ferner will die CSU grobe Verstösse gegen die deutsche Rechtsordnung mit rascher Ausweisung ahnden . ;rechtsordnung;ausweisung;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
59;nzz_1998_07_06_a153_seg5_s12;Die Wucht ihrer Aufschläge , von denen gelegentlich gar zweite Bälle in der Grenzregion von 200 km/h flogen , zwang die Rückschläger oft genug zum Abblocken mit steifem Handgelenk . ;abblocken;handgelenk;Depiktiv;done;yes;yes;methode;frei;modal ;ein_vorgang ;;;;;;;;;
60;nzz_1994_03_28_a26_seg2_s1;Libanons Regierung kehrt mit eisernem Besen ;regierung;besen;ambig INSTR, metaphorisch;done;yes;yes;rein;frei;modal ;ist_instrument ein_vorgang ;;;;;;;;;
61;nzz_1994_03_28_a58_seg10_s3;Sie handelten eindeutig ergebnisorientiert und gingen mit gleichsam hausfraulichem Ansatz an die Probleme heran . ;gehen;ansatz;;done;yes;yes;methode;frei;modal ;ein_vorgang abstraktes_objekt ;;;;;;;;;
62;nzz_1994_03_24_a162_seg3_s18;Für die Schweizer Mannschaft geht es nach diesem Aufwärmprogramm mit leicht gesteigerter Kadenz weiter . ;gehen;kadenz;;done;yes;yes;degree;frei;modal ;ein_vorgang ;;;;;;;;;
63;nzz_1994_03_26_a11_seg4_s3;Bei der gestapelten Literatur handelte es sich um deutsche Bücher , die von russischen Truppen zum Ende des Zweiten Weltkrieges aus dem besetzten Deutschland abtransportiert worden waren und nun , in einem symbolischen Akt für die Presse mit Blitzlicht , von Sidorow offiziell zurückerstattet wurden . ;presse;blitzlicht;ambig ModNP;done;yes;yes;rein;frei;modal vorhandensein ;vorhandensein_im_engeren_sinne ein_vorgang ;;;;;;;;;
64;nzz_1994_03_23_a167_seg15_s7;Man will ja die in der Traubenbeere enthaltenen Aromastoffe und einen Teil der Farbstoffe mit möglichst gutem Wirkungsgrad extrahieren . ;extrahieren;wirkungsgrad;;done;yes;yes;rein;frei;modal vorhandensein ;vorhandensein_im_engeren_sinne ein_vorgang ;;;;;;;;;
65;nzz_1995_06_12_a27_seg1_s9;Diese werden jeweils mit einer einprägsamen Karikatur illustriert . ;illustrieren;karikatur;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
66;nzz_1995_06_16_a33_seg6_s9;Der Bund versucht mit seiner Koordinationstätigkeit , welche nun auch mit der aktuellen Revision des Umweltschutzgesetzes angestrebt wird , in dieser Richtung zu wirken . ;anstreben;revision;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
67;nzz_1995_06_14_a144_seg6_s3;In der Frage der Studienzeitbeschränkung werde mit einem unzutreffenden psychologischen Hauptargument gefochten , welches das breite Publikum , das mit den Verhältnissen an der Universität nicht vertraut ist , in die Irre führe . ;fechten;hauptargument;INSTR ;problem;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
68;nzz_1993_09_29_a146_seg4_s1;An der Jahrestagung der Bretton-Woods-Institute , die am Dienstag mit einer Ansprache des ungarischen Finanzministers Ivan Szabo sowie mit Reden der Chefs von Weltbank und Währungsfonds eröffnet wurde , sind stärker als in früheren Jahren die Probleme der Industrieländer in den Vordergrund gerückt worden . ;eröffnen;ansprache;Vorgang;done;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
69;nzz_1993_08_31_a94_seg6_s1;Weitere Punkte sind sodann eine verstärkte Klimaforschung und der forcierte Einsatz von Technologien , welche mit einem höheren Wirkungsgrad arbeiten und damit CO 2 einsparen können . ;arbeiten;wirkungsgrad;;done;yes;yes;degree;frei;modal ;ein_vorgang ;;;;;;;;;
70;nzz_1993_12_10_a229_seg9_s1;Den weiteren Ausführungen der Referenten war zu entnehmen , dass die Sicherheitspatrouillen mit Funk ausgestattet werden und in der Regel zu zweit , mit Schwerpunkt am Abend , aber auch bereits am Morgen , zirkulieren sollen . ;zirkulieren;schwerpunkt;ModPP;not_of_interest;no;;;;modal ;ein_vorgang ;;;;;;;;;
71;nzz_1998_08_29_a237_seg20_s1;Er sprach mit schottischem Akzent , musste also Schotte sein . ;sprechen;akzent;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
72;nzz_1998_12_01_a161_seg3_s7;Er spricht Hochdeutsch mit jugoslawischem Akzent und trug zur Tatzeit eine Wollmütze mit Sehschlitzen und eine Hose mit der Aufschrift « USA » . ;sprechen;akzent;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
73;nzz_1997_01_13_a88_seg8_s5;Die zaghaften Einwände des Museumsdirektors Kohlhaussen quittierte er mit dem Befehl : « Diesen in der Vitrine will ich , keinen andern . ;quittieren;befehl;;done;yes;yes;rein;frei;regiert modal ;regiert ein_vorgang ;;;;;;;;;
74;nzz_1993_03_30_a70_seg4_s5;Nach einem fahrlässig eingehandelten Viererhaus im ersten End konterte die Equipe aus Ontario mit einem Geniestreich nach dem anderen , ging bis zum fünften End 8 : 4 in Führung und gab danach das Heft nicht mehr aus der Hand . ;kontern;geniestreich;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
75;nzz_1993_03_30_a91_seg2_s5;An jenem 6. Dezember hatten sogenannte Ultras mit einer selbstgebastelten Bombe gegen Spruchbänder und Sprechchöre der Turiner Tifosi protestiert . ;protestieren;bombe;INSTR;not_of_interest;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
76;nzz_1994_12_16_a134_seg2_s14;Nachdem in den letzten Wochen ein gefahrvoller Erosionsprozess in Gang gekommen schien , indem einzelne Stadtratsmitglieder mit anklagendem Finger auf den Kanton zeigten , der zuwenig Hilfsangebote bereitstelle , haben Stadt- und Regierungsrat jetzt eindrücklich Einigkeit demonstriert . ;stadtratsmitglied;finger;SH;not_of_interest;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
77;nzz_1994_12_21_a124_seg3_s7;Die beiden Täter wurden wie folgt beschrieben : Erster Unbekannter : zirka 25 bis 30 Jahre alt , etwa 175 cm gross , schlanke Statur , kurze braune Haare , schmales Gesicht , trug Jeans und eine dunkle Jacke , sprach Zürcherdialekt mit ausländischem Akzent , führte eine kleine dunkle Tasche mit sich , war mit einer Faustfeuerwaffe bewaffnet . ;zürcherdialekt;akzent;ambig ModNP;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
78;nzz_1994_12_13_a73_seg8_s6;Die Aussagen zur Zinssituation richten sich vor allem gegen den Kantonalbankenverband , der am vergangenen 25. November mit Verweis auf die enger gewordene Zinsmarge erklärt hatte , Korrekturen beim Hypothekarzins liessen sich kaum vermeiden . ;erklären;verweis;;done;yes;yes;rein;frei;modal ;ereignis_oder_handlung ein_vorgang ;;;;;;;;;
79;nzz_1998_03_02_a86_seg3_s5;Jeder einzelne Schlag wird auch in den meist drängenden Tempi mit grosser Geste ausgeschlagen . ;ausschlagen;geste;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
80;nzz_1998_04_30_a236_seg4_s1;Es gab die sogenannte gute alte Zeit ( die so lange noch gar nicht zurückliegt ) : Was in der europäischen Fernsehunterhaltung Rang und Namen hatte , besammelte sich unter Zuzug zugewandter transatlantischer Orte jeweils im Frühjahr am Genfersee , mit hehrer Zielsetzung : unter anderem zur Förderung der besseren Kenntnis qualitativ hochwertiger Unterhaltungsprogramme von internationalem Niveau und zur Anregung des Programmaustausches zwischen Produzenten und Fernsehveranstaltern . ;besammeln;zielsetzung;;done;yes;yes;rein;frei;modal ;ein_vorgang teilvorgang ;;;;;;;;;
81;nzz_1998_05_29_a50_seg7_s5;Dies bejahten schliesslich drei der fünf urteilenden Bundesrichter , wobei das Verhalten des international bekannten und erfahrenen Sammlers von Curiosa mit strengem Massstab gemessen wurde . ;messen;massstab|masstab;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
82;nzz_1995_06_27_a113_seg3_s6;Mit praktisch gleichem Epizentrum war bereits um 19 Uhr 32 ein Beben der Stärke 2,5 registriert worden . ;registrieren;epizentrum;Depiktiv;not_of_interest;no;;;;modal ;ein_vorgang ;;;;;;;;;
83;nzz_1995_06_24_a146_seg3_s6;"Die Beiträge sind wie Krimis hergerichtet ; mit Vorliebe wird mit versteckter Kamera gefilmt , wobei man sich selber gebührend ins Bild rückt . ";filmen;kamera;ambig INSTR;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
84;nzz_1995_06_24_a210_seg3_s7;Wenn dann die Herren Raben nach einem ihrer Beutezüge satt und mit schimmerndem Gefieder wieder davonsausen , leiert der treue Johannes - bonjour , tristesse ! ;nach;gefieder;Depiktiv;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
85;nzz_1995_06_29_a185_seg2_s13;Der momentan einzige Top-hundred-Professional , Jeremy Bates ( 88 ) , kann im Alter von 33 Jahren nicht mehr mit gutem Gewissen den förderungswürdigen Talenten zugerechnet werden . ;na;gewissen;SADV;problem;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
